case_id,title,symptom,topology_note,show_command_output,expected_fault,osi_layer,concept_tag,severity,expected_next_command,expected_fix_summary,verified_in_packet_tracer
NS-001,VLAN Isolation — PC Cannot Reach Printer,"PC1 in VLAN 10 cannot ping Printer in VLAN 10; both show link up","Switch SW1; PC1 on Fa0/1 (VLAN 10); Printer on Fa0/2; trunk to router on Fa0/24","Switch#show vlan brief
VLAN Name                             Status    Ports
----  -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/2, Fa0/3
10   STAFF                            active
20   GUEST                            active
1002 fddi-default                     act/unsup
1003 token-ring-default               act/unsup
Switch#show interfaces Fa0/1
FastEthernet0/1 is up, line protocol is up
  Hardware is Fast Ethernet, address is aabb.cc00.1001
  Description: PC1
  MTU 1500 bytes, BW 100000 Kbit/sec
  Access mode: VLAN 1",VLAN,Layer 2,vlan-membership,Medium,show interfaces Fa0/2 switchport,"Assign Fa0/1 and Fa0/2 to VLAN 10 using: interface Fa0/1; switchport mode access; switchport access vlan 10. Repeat for Fa0/2.",FALSE
NS-002,VLAN Trunk Not Allowed,"Traffic from VLAN 20 cannot cross the trunk link between SW1 and SW2","SW1 Gi0/1 trunk to SW2 Gi0/1; PC in VLAN 20 on SW1; server in VLAN 20 on SW2","SW1#show interfaces gi0/1 trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      1

Port        Vlans allowed on trunk
Gi0/1       1-10

Port        Vlans allowed and active in management domain
Gi0/1       1,10

Port        Vlans in spanning tree forwarding state and not pruned
Gi0/1       1,10",VLAN,Layer 2,vlan-trunk,Medium,show running-config interface gi0/1,"On SW1 Gi0/1: switchport trunk allowed vlan add 20. Verify same on SW2 Gi0/1.",FALSE
NS-003,Native VLAN Mismatch,"Intermittent connectivity; CDP native VLAN mismatch warning seen in syslog","SW1 Gi0/2 trunk to SW2 Gi0/2; both switches have untagged native VLAN traffic","SW1#show interfaces gi0/2 trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/2       on           802.1q         trunking      100

SW2#show interfaces gi0/2 trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/2       on           802.1q         trunking      1

SW1#show log | include VLAN
%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on GigabitEthernet0/2 (100) with SW2 GigabitEthernet0/2 (1).",VLAN,Layer 2,native-vlan,Low,show cdp neighbors detail,"Set the same native VLAN on both ends: SW2 Gi0/2: switchport trunk native vlan 100",FALSE
NS-004,VLAN Not Created on Switch,"PC in VLAN 30 cannot communicate; port assigned but VLAN missing from database","SW1; PC on Fa0/5 assigned to VLAN 30; no VLAN 30 definition in database","Switch#show vlan brief
VLAN Name                             Status    Ports
----  -------------------------------- --------- -------------------------------
1    default                          active    Fa0/2, Fa0/3
10   STAFF                            active    Fa0/4
20   GUEST                            active
1002 fddi-default                     act/unsup

Switch#show interfaces Fa0/5 switchport
Name: Fa0/5
Switchport: Enabled
Administrative Mode: static access
Operational Mode: static access
Administrative Trunking Encapsulation: negotiate
Access Mode VLAN: 30 (Inactive)",VLAN,Layer 2,vlan-database,Medium,show vlan id 30,"Create VLAN 30 on switch: vlan 30; name SERVERS; exit. Port will become active.",FALSE
NS-005,Default Gateway Misconfiguration,"PC cannot reach any host outside its subnet; local pings succeed","PC1 (192.168.10.5/24) should use gateway 192.168.10.1; router R1 Gi0/0 is 192.168.10.1","PC>ipconfig
   IPv4 Address. . . . . : 192.168.10.5
   Subnet Mask . . . . . : 255.255.255.0
   Default Gateway . . . : 192.168.20.1

Router#show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     192.168.10.1    YES NVRAM  up                    up
GigabitEthernet0/1     192.168.20.1    YES NVRAM  up                    up

Router#show ip route
C    192.168.10.0/24 is directly connected, GigabitEthernet0/0
C    192.168.20.0/24 is directly connected, GigabitEthernet0/1",Gateway,Layer 3,default-gateway,Medium,ping 192.168.10.1,"Correct PC's default gateway to 192.168.10.1 (the actual router interface on its subnet).",FALSE
NS-006,Gateway IP Address Conflict,"Two hosts show same gateway; one cannot route; ARP conflicts seen","PC1 and Router R1 both configured with 192.168.10.1 on the same LAN segment","Router#show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     192.168.10.1    YES NVRAM  up                    up

Router#show arp
Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  192.168.10.1            0   aabb.cc00.0001  ARPA   GigabitEthernet0/0
Internet  192.168.10.1            1   aabb.cc11.2222  ARPA   GigabitEthernet0/0

Router#show log | include ARP
%IP-4-DUPADDR: Duplicate address 192.168.10.1 on GigabitEthernet0/0, sourced by aabb.cc11.2222",Gateway,Layer 3,ip-conflict,High,show arp,"Identify and renumber the conflicting device. Change PC1 IP to an unused address in 192.168.10.0/24.",FALSE
NS-007,Router Interface Shutdown,"PC cannot reach any external host; router interface for that subnet is admin-down","PC subnet 10.0.1.0/24; router R1 Gi0/1 should be gateway but is shut down","Router#show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     10.0.0.1        YES NVRAM  up                    up
GigabitEthernet0/1     10.0.1.1        YES NVRAM  administratively down down

Router#show running-config interface gi0/1
interface GigabitEthernet0/1
 ip address 10.0.1.1 255.255.255.0
 shutdown",Gateway,Layer 3,interface-shutdown,High,show interfaces gi0/1,"No shutdown on R1 Gi0/1: interface Gi0/1; no shutdown.",FALSE
NS-008,Wrong Subnet Mask on Gateway,"PC can ping devices on same /24 but not on adjacent /24 even through the router","R1 Gi0/0 configured with wrong /16 mask instead of /24","Router#show ip interface gi0/0
GigabitEthernet0/0 is up, line protocol is up
  Internet address is 192.168.10.1/16
  Broadcast address is 255.255.255.255
  MTU is 1500 bytes

Router#show ip route
C    192.168.0.0/16 is directly connected, GigabitEthernet0/0
C    10.0.0.0/8 is directly connected, GigabitEthernet0/1

Router#show running-config interface gi0/0
interface GigabitEthernet0/0
 ip address 192.168.10.1 255.255.0.0",Gateway,Layer 3,subnet-mask,Medium,show ip interface gi0/1,"Correct mask: interface Gi0/0; ip address 192.168.10.1 255.255.255.0",FALSE
NS-009,DHCP Server Unreachable,"Clients receive 169.254.x.x APIPA address; DHCP server is on different VLAN","PC on VLAN 10; DHCP server on VLAN 20; no ip helper-address configured on router","Router#show running-config interface gi0/0.10
interface GigabitEthernet0/0.10
 encapsulation dot1Q 10
 ip address 192.168.10.1 255.255.255.0

Router#show ip interface gi0/0.10
GigabitEthernet0/0.10 is up, line protocol is up
  Internet address is 192.168.10.1/24
  Helper address is not set

PC#ipconfig
   IPv4 Address. . . . . : 169.254.45.12
   Subnet Mask . . . . . : 255.255.0.0
   Default Gateway . . . :",DHCP,Layer 3,dhcp-relay,High,show ip dhcp pool,"Add ip helper-address on VLAN 10 sub-interface: interface Gi0/0.10; ip helper-address <DHCP-server-IP>",FALSE
NS-010,DHCP Pool Exhausted,"New hosts fail to get an IP; existing leases stable; DHCP server reachable","DHCP pool configured for /28 (14 usable IPs); 15 devices on segment","Router#show ip dhcp pool
Pool OFFICE :
 Network: 192.168.1.0 255.255.255.240
 Domain name: corp.local
 DNS server: 8.8.8.8
 Lease time: 1 days 0 hours 0 minutes
 Utilization mark (high/low): 100/0
 Subnet size (first/next): 0/0
 Total addresses: 14
 Leased addresses: 14
 Excluded addresses: 0
 Pending event: none

Router#show ip dhcp binding | count
14",DHCP,Layer 3,dhcp-pool,Medium,show ip dhcp conflict,"Expand pool to /24 or reduce lease time to free addresses: ip dhcp pool OFFICE; network 192.168.1.0 255.255.255.0",FALSE
